0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:23:58 +0900] "GET /SemiProject/review/review_moviedetail.jsp?24 HTTP/1.1" 200 894
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:23:58 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:23:58 +0900] "GET /SemiProject/review/review_moviedetail.jsp?24 HTTP/1.1" 200 894
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:23:58 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:25:07 +0900] "GET /SemiProject/review/review_moviedetail.jsp?24 HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:25:07 +0900] "GET /SemiProject/review/review_moviedetail.jsp?24 HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:25:07 +0900] "GET /SemiProject/review/review_moviedetail.jsp?24 HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:25:07 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:25:08 +0900] "GET /SemiProject/review/review_moviedetail.jsp?24 HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:25:08 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:26:38 +0900] "GET /SemiProject/review/review_moviedetail.jsp?24 HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:26:38 +0900] "GET /SemiProject/review/review_moviedetail.jsp?24 HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:26:38 +0900] "GET /SemiProject/review/review_moviedetail.jsp?24 HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:26:38 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:26:38 +0900] "GET /SemiProject/review/movie_save/null HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:26:52 +0900] "GET /SemiProject/review/review_moviedetail.jsp?12 HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:26:52 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:26:52 +0900] "GET /SemiProject/review/movie_save/null HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:26:53 +0900] "GET /SemiProject/review/review_moviedetail.jsp?12 HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:26:53 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:26:53 +0900] "GET /SemiProject/review/movie_save/null HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:26:56 +0900] "GET /SemiProject/review/review_moviedetail.jsp?12 HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:26:56 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:26:56 +0900] "GET /SemiProject/review/movie_save/null HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:26:57 +0900] "GET /SemiProject/review/review_moviedetail.jsp?12 HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:26:57 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:26:57 +0900] "GET /SemiProject/review/movie_save/null HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:26:57 +0900] "GET /SemiProject/review/review_moviedetail.jsp?12 HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:26:57 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:26:57 +0900] "GET /SemiProject/review/movie_save/null HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:26:57 +0900] "GET /SemiProject/review/review_moviedetail.jsp?12 HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:26:57 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:26:57 +0900] "GET /SemiProject/review/movie_save/null HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:27:43 +0900] "GET /SemiProject/review/review_moviedetail.jsp?24 HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:27:43 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
